notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,notice_is_cn-standard,notice_is_pin-only,notice_is_pin-tran,notice_is_pin-rtl,notice_is_cn-social,notice_is_pin-buyer,notice_is_qu-sy,notice_is_corr,notice_is_pin-cfc-social,notice_is_pin-cfc-standard,total-value,notice_type_cn-standard,notice_type_can-standard,notice_type_can-modif,notice_type_pin-only,notice_type_can-social,notice_type_cn-social,notice_type_veat,notice_type_pin-rtl,notice_type_pin-buyer,notice_type_cn-desg,is_outlier,outlier_status,anomaly_score,prediction_time
7706c0dd-c9b6-439c-9581-13f96893bf6c,879375.0,879375.0,13.68696784402143,1,0,0,0,0,0,0,0,0,0,879375.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1749,2025-05-30 11:59:56
5bff1cd0-21a3-4428-ae72-7d5a39c3153b,213441.173,213441.173,12.271121222504648,1,0,0,0,0,0,0,0,0,0,928005.1,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1674,2025-05-30 11:59:56
85c9817f-c3ee-4689-afa2-a1fc858ffcae,1564901.0,1564901.0,14.263333760187384,1,0,0,0,0,0,0,0,0,0,1564901.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1723,2025-05-30 11:59:56
839b7b0b-c2a7-4718-bcf1-010b618ee21b,783000.0,783000.0,13.570889252111332,1,0,0,0,0,0,0,0,0,0,9000000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.174,2025-05-30 11:59:56
6fae66f4-5983-47d7-a152-eb74759b1834,1870115.0,1870115.0,14.44151101899242,1,0,0,0,0,0,0,0,0,0,1870115.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1707,2025-05-30 11:59:56
1616550c-e658-46a9-a843-6594d82120a7,26254812.0,26254812.0,17.083359882575866,1,0,0,0,0,0,0,0,0,0,26254812.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1235,2025-05-30 11:59:56
76d79569-0646-46b3-b814-58a98a9dc367,269000.0,269000.0,12.502470376049184,1,0,0,0,0,0,0,0,0,0,269000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1748,2025-05-30 11:59:56
194e793b-848e-4375-b2d2-59f0a1935021,416393.44,416393.44,12.939388263088176,1,0,0,0,0,0,0,0,0,0,416393.44,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1748,2025-05-30 11:59:56
865018b1-286c-431e-a88d-6cad28bf4531,510000.0,510000.0,13.1421679654829,1,0,0,0,0,0,0,0,0,0,510000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1747,2025-05-30 11:59:56
1c30b9c8-0f23-438b-8d5a-3a988e2501d0,7000000.0,7000000.0,15.76142084987672,0,1,0,0,0,0,0,0,0,0,7000000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1583,2025-05-30 11:59:56
4bfd1071-2b44-46cc-83d0-7081dc3628c8,670000.0,670000.0,13.415034483903348,1,0,0,0,0,0,0,0,0,0,670000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.175,2025-05-30 11:59:56
a0cc89c1-cf15-46dc-98ce-584ee93ec7d5,2085303.6555,2085303.6555,14.550425520286684,1,0,0,0,0,0,0,0,0,0,53469324.5,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1448,2025-05-30 11:59:56
48588aea-6a86-4660-bce0-d1efc210d0b7,24500000.0,24500000.0,17.01418371633128,0,1,0,0,0,0,0,0,0,0,24500000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1263,2025-05-30 11:59:56
a9d7fd20-f823-49c1-9b8c-c7c627684da8,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.075,2025-05-30 11:59:56
3b5031a6-7016-47a8-a0ed-705061f54fff,7833000.0,7833000.0,15.873856264014377,1,0,0,0,0,0,0,0,0,0,7833000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1583,2025-05-30 11:59:56
d3257766-9c88-4444-8574-48f0d9c2351f,1200000.0,1200000.0,13.997832948091215,1,0,0,0,0,0,0,0,0,0,1200000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1743,2025-05-30 11:59:56
bdecf9be-e0a8-4ca4-a9e5-0ac197df31ab,19491007.97,19491007.97,16.785463838743077,1,0,0,0,0,0,0,0,0,0,19491007.97,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1314,2025-05-30 11:59:56
65e8f8fc-f12e-4efe-b967-48af2ac83cf6,5450135.1632,5450135.1632,15.511151150400725,1,0,0,0,0,0,0,0,0,0,23696239.84,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1519,2025-05-30 11:59:56
