notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-only,notice_is_cn-social,notice_is_pin-rtl,notice_is_veat,notice_is_can-social,notice_is_can-desg,notice_is_cn-desg,total-value
266359ad-e124-4011-8c4d-7c1e52761fe7,6274600.0,6274600.0,15.652020455303097,0,,1,0,0,0,0,0,0,0,0,0,6274600.0
6f437ecc-326a-42fe-a1a7-86ce3155cddd,995245.0,995245.0,13.810745221763806,1,4.0,1,0,0,0,0,0,0,0,0,0,995245.0
d08249f1-decb-41dd-b065-7d1eece34a06,2151519.06,2151519.06,14.581685154944958,13,3.0,1,0,0,0,0,0,0,0,0,0,2151519.06
ee18ea0b-af8a-46ff-bafe-6ed132022f60,600000.0,600000.0,13.304686600863562,0,,0,1,0,0,0,0,0,0,0,0,600000.0
5f81f32e-20bc-4633-8320-baf47832d31c,837248.0,837248.0,13.637876796269353,1,4.0,1,0,0,0,0,0,0,0,0,0,837248.0
3776186b-7720-4f84-aae6-f9486ae67c26,27353841.72,24421000.0,17.124367578608172,0,,0,1,0,0,0,0,0,0,0,0,27353841.72
72fdbe57-0e37-4b05-817d-85fe857b115d,434999.99999999994,434999.99999999994,12.983103608918753,0,,0,1,0,0,0,0,0,0,0,0,5000000.0
f7f510dd-c6bb-4915-b3f2-cb4e33d9b961,544490751.0,24421000.0,20.115361515803706,0,,0,0,1,0,0,0,0,0,0,0,544490751.0
5654323d-d0cc-4829-ad65-ff119a463913,8400000.0,8400000.0,15.943742382861155,0,,0,0,0,0,1,0,0,0,0,0,8400000.0
5fdedc5c-3814-41ed-883b-f499d940845c,1110000.0,1110000.0,13.919871474189012,0,,0,1,0,0,0,0,0,0,0,0,1110000.0
cab4fd41-040b-49f4-9e93-6b1810518e54,427800.0,427800.0,12.966413413168617,1,2.0,1,0,0,0,0,0,0,0,0,0,427800.0
3a2d9dc4-d533-451a-a81d-78889247fba1,108702358.0,24421000.0,18.504124053787876,3,4.0,1,0,0,0,0,0,0,0,0,0,108702358.0
6a67fe7c-619b-4772-9bfe-8ab65751aea4,335000.0,335000.0,12.721888795877375,0,,0,1,0,0,0,0,0,0,0,0,335000.0
db8b2a05-6e1c-4362-9daf-19e35e226688,328965.0,328965.0,12.70370968094216,1,2.5,1,0,0,0,0,0,0,0,0,0,8435000.0
84f5525e-0935-42df-a13f-b86cd233f030,3142710.0,3142710.0,14.960596361186118,1,3.0,1,0,0,0,0,0,0,0,0,0,3142710.0
baa94292-fd36-41d0-a0e8-e1f38495baaa,8900513.56,8900513.56,16.00161964876144,2,3.0,1,0,0,0,0,0,0,0,0,0,8900513.56
4a22b81a-8abf-4bd2-b202-4fe4d1f425fb,2340000.0,2340000.0,14.66566191468422,0,,0,1,0,0,0,0,0,0,0,0,18000000.0
c7880f3f-2983-41f9-96c2-25e94733bedf,2800.0,2800.0,7.937731775260109,0,,1,0,0,0,0,0,0,0,0,0,2800.0
108a3f8f-eb95-43a8-ae72-d4ba44047df3,5750000.0,5750000.0,15.564710586686562,0,,0,0,0,0,0,0,1,0,0,0,5750000.0
b17a8937-af0a-4385-954e-58cf82b24751,23459.28,23459.28,10.063064057345109,1,2.5,1,0,0,0,0,0,0,0,0,0,601520.0
6dde8944-0f81-4b86-b485-dfdd13d00834,360005.63,360005.63,12.793877726929376,0,,0,1,0,0,0,0,0,0,0,0,360005.63
ca841aed-41b6-4070-ab47-8d729cbf8fc6,87000.0,87000.0,11.373674891823535,0,,1,0,0,0,0,0,0,0,0,0,1000000.0
9356de7c-5f6a-4799-9f86-9917fcb1e59f,404045.0,404045.0,12.90928401184771,1,2.5,1,0,0,0,0,0,0,0,0,0,404045.0
68c7d9a0-f210-4c54-8384-67795f0f09f2,4605.12,4605.12,8.43514113301564,1,2.5,1,0,0,0,0,0,0,0,0,0,118080.0
6eaa0277-86e4-4b51-8473-1e816156b42d,3107312.0,3107312.0,14.949268923565144,3,2.0,1,0,0,0,0,0,0,0,0,0,3107312.0
20c5de19-4d5c-4b2e-9eb9-ce99be62074f,647851.23,647851.23,13.381417909205853,0,,0,1,0,0,0,0,0,0,0,0,16611570.0
b24ca1d9-431b-4f45-9363-200dac0d5553,12914.304,12914.304,9.466168243774014,5,2.5,1,0,0,0,0,0,0,0,0,0,331136.0
5fb2a44d-2919-44c0-8e26-589afd3feedf,13166.5527,13166.5527,9.485510953627871,2,2.5,1,0,0,0,0,0,0,0,0,0,25816.77
4a64e116-687e-48a5-9528-6240fb82a0d0,9345852.2,9345852.2,16.050443294864706,0,,0,1,0,0,0,0,0,0,0,0,9345852.2
c220cff0-df47-44ec-afd9-e19841cb18fa,77374464.0,24421000.0,18.1641673745671,1,3.0,1,0,0,0,0,0,0,0,0,0,77374464.0
8f2aa9a3-b50c-4d66-9e3d-f1947d8f1da7,13000000.0,13000000.0,16.380459992348886,0,,0,1,0,0,0,0,0,0,0,0,13000000.0
0183d231-657b-4ab3-ac88-802e358b29a5,87420.0,87420.0,11.378490807381851,0,,1,0,0,0,0,0,0,0,0,0,87420.0
033d0090-efc7-40ea-9e57-4dfc7d7e4b98,275950.45,275950.45,12.527980223428946,0,,0,1,0,0,0,0,0,0,0,0,275950.45
7c0f8635-1475-40a8-9813-dbf52f656a35,24421000.0,24421000.0,17.010954016797715,0,,0,1,0,0,0,0,0,0,0,0,24421000.0
c1e054d5-06fd-40c1-a929-2b4af4daf162,3311582.64,3311582.64,15.012937074024414,2,2.0,0,0,0,0,0,0,0,1,0,0,3311582.64
492fa9ed-6929-4642-9ce7-5be98fc0160c,153000.0,153000.0,11.938199736300925,0,,1,0,0,0,0,0,0,0,0,0,300000.0
98f103b8-7e17-4e9b-a97d-ce4aa04a3ee0,6855708.8,6855708.8,15.740592410475921,0,,0,1,0,0,0,0,0,0,0,0,6855708.8
1733d9f1-eb3b-45f6-b2a3-38e9c612a6d2,5330000.0,5330000.0,15.48886198375927,0,,0,0,0,1,0,0,0,0,0,0,41000000.0
529be328-d1ca-41e5-bfb9-bb576aa61caa,8386328.0,8386328.0,15.94211343799671,1,2.5,1,0,0,0,0,0,0,0,0,0,8386328.0
1e6d02cb-4782-48ba-bfae-50df96e575c7,2620560.0,2620560.0,14.778898974953812,0,,0,1,0,0,0,0,0,0,0,0,2620560.0
