notice-identifier,dps-usage-lot,notice-type,exclusion-grounds,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,legal-basis-proc,procedure-identifier,winner-selection-status,winner-size,estimated-value-cur-lot,total-value,estimated-value-cur-proc,winner-owner-nationality,direct-award-justification-text-proc.deu,direct-award-justification-proc,no-negocaition-necessary-lot,accessibility-lot,legal-basis-text.deu,framework-value-notice,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_pin-only,notice_is_cn-social,notice_is_veat,notice_is_can-desg,notice_is_qu-sy
6b3567fb-278d-4837-bbae-78d0d91ffc1b,none,cn-standard,nati-ground|bankr-nat|corruption|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,188203-2025,False,32014L0024,DEU,vob-a-eu,20bc9987-e6e1-4829-95aa-5f2838323a2e,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
4203084a-45b0-4dca-b776-439377cee083,none,can-standard,,188204-2025,,32014L0024,DEU,vgv,db5832c5-c78e-4f5b-8cdd-ddebe94917db,selec-w,small,,,,,,,,,,,EUR,,,False,0.0,1,small,2.0,0,1,0,0,0,0,0,0,0
113663c3-c0cc-481d-a050-a0c20ac498b1,none|none|none|none|none,can-standard,,188214-2025,False,32014L0024,DEU,vgv,5ef92ba7-bfd0-41c9-9408-578ccf220a92,clos-nw|open-nw|clos-nw|open-nw|open-nw,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,1,0,0,0,0,0,0,0
7f067c89-1657-40a4-bf41-ce46d56269b7,none,can-standard,,188216-2025,False,32014L0024,DEU,vob-a-eu,465cd8df-3da2-42cf-9e7a-015df55ea387,selec-w,small,,609051.66,,,,,,,,,EUR,609051.66,609051.66,False,13.319660012576083,1,small,2.0,0,1,0,0,0,0,0,0,0
d88e2f61-ec2d-4f88-ba0d-ac1f4cc091fe,none,can-standard,,188222-2025,False,32014L0024,DEU,vgv,c31828fb-a631-4338-83a7-46c60e8430f7,selec-w,medium,,0.01,,,,,,,,,EUR,0.01,0.01,False,0.009950330853168083,1,medium,3.0,0,1,0,0,0,0,0,0,0
d2615931-8f29-4a6c-8cb5-20a120a75c5d,none,cn-standard,,188240-2025,True,32014L0024,DEU,vgv,32c0a803-d94d-4f1b-862f-b907cf0b7f1d,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
b01ff44d-c698-482f-8f9c-00325005138c,none,cn-standard,bankr-nat|corruption|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,188243-2025,False,32014L0024,DEU,vgv,2c655707-1973-43b9-92f9-4e67a3b6884d,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
8c1bdb1e-dbd6-44ae-adf2-5d3007ddc9a5,,can-modif,,188252-2025,,32014L0025,DEU,sektvo,2c67f237-8de0-4e66-bb81-7b5279401329,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,0,1,0,0,0,0,0,0
7d86a03c-87f3-4e5c-83f6-6b1c6136d85f,none,can-standard,,188260-2025,,32014L0024,DEU,vob-a-eu,f18f2808-d5ec-4dc9-a022-39516fea2142,selec-w,medium,,167911.0,,DEU,,,,,,,EUR,167911.0,167911.0,False,12.031195311625453,1,medium,3.0,0,1,0,0,0,0,0,0,0
83800ba8-8603-4080-8387-4034a932c70e,none,cn-standard,exg-natl-bre-nat-law,188261-2025,False,32014L0024,DEU,vob-a-eu,5c248017-2c6b-49f7-87d2-0cf8eb26b970,,,,548000.0,EUR,,,,,,,,EUR,548000.0,548000.0,False,13.214032390746006,0,,,1,0,0,0,0,0,0,0,0
