notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_can-social,notice_is_pin-cfc-social,notice_is_cn-desg,notice_is_cn-social,notice_is_pin-only,total-value
826c26cf-06ff-4c2b-9407-45c7147372e4,745008.0,745008.0,13.52115157782564,1,3.0,1,0,0,0,0,0,0,0,0,745008.0
f9304c49-b6cc-4f79-bc13-a2988791e5e7,1728000.0,1728000.0,14.362475807049675,0,,0,1,0,0,0,0,0,0,0,1728000.0
799e55d4-a263-4d91-b3e5-003ee3b7a412,628000.0,628000.0,13.350297037805756,0,,0,1,0,0,0,0,0,0,0,628000.0
8ac59cfc-1bf3-40e8-8880-4597b6e097d9,604838.71,604838.71,13.312718759760847,1,4.0,1,0,0,0,0,0,0,0,0,604838.71
c326b73c-7b3b-4e7c-bdf3-ca6fc6bd6562,376144.0,376144.0,12.837729986330567,1,2.5,1,0,0,0,0,0,0,0,0,376144.0
1b7694c9-c465-4b4f-a88c-59f52206ecf7,720000.0,720000.0,13.487007879880162,0,,0,1,0,0,0,0,0,0,0,720000.0
539b4998-6b52-4423-9608-f47b30cce75f,423100.0,423100.0,12.955366200212811,0,,0,1,0,0,0,0,0,0,0,423100.0
365a700f-5af3-4b8d-b5c6-605f34765dd2,576576.65,576576.65,13.264865301728628,0,,0,1,0,0,0,0,0,0,0,576576.65
9854f2be-dc84-490a-86dd-4b8dfcdad3c8,499850.0,499850.0,13.122065332993506,1,2.5,1,0,0,0,0,0,0,0,0,499850.0
5cf255b8-cc95-4695-ad53-902d77b3b6d1,398046.76,398046.76,12.89432727706715,0,,0,1,0,0,0,0,0,0,0,398046.76
eb63175e-69ce-4277-9bc7-1954826c1e8d,659092.6,659092.6,13.398620836782774,1,2.5,1,0,0,0,0,0,0,0,0,659092.6
b8339a60-7eb2-4c6a-84ad-3c17d409e5e1,3674669.88,3674669.88,15.11697413015607,0,,0,1,0,0,0,0,0,0,0,3674669.88
f5285970-3ee2-4003-9ab7-59fc35e860aa,316980.0,316980.0,12.666597114154612,0,,0,1,0,0,0,0,0,0,0,316980.0
7bf83aa3-cec3-4ee5-b4ea-97e84b5f9b3c,278833.5,278833.5,12.538373694832572,1,2.0,1,0,0,0,0,0,0,0,0,278833.5
61a8c515-ff9e-485c-9a44-9c54fa3eddf3,277254.0,277254.0,12.532692939315101,0,,0,1,0,0,0,0,0,0,0,277254.0
ff8feaaf-950f-428c-ab15-bd7a77967473,220000.0,220000.0,12.301387370778713,1,3.0,1,0,0,0,0,0,0,0,0,220000.0
3148f6b2-5d3a-45ee-b12c-3b00546fe4fe,3049704.0,3049704.0,14.930555422594312,1,2.5,1,0,0,0,0,0,0,0,0,3049704.0
9c67470b-2b90-44b9-9280-d564665accbf,1137163.02,1137163.02,13.944048019144843,0,,0,1,0,0,0,0,0,0,0,1137163.02
7c16b5ff-cd16-42f6-8978-ceec99e23188,3897700.0,3897700.0,15.17589745010451,1,3.0,1,0,0,0,0,0,0,0,0,3897700.0
59e52b0c-55b5-4012-b016-8ae62903881f,236733.44,236733.44,12.374694285551598,3,2.5,1,0,0,0,0,0,0,0,0,236733.44
18ceb6d6-99b0-4ad6-9f41-f4ad87ad9e37,2466100.0,2466100.0,14.71814891888312,1,3.0,1,0,0,0,0,0,0,0,0,2466100.0
dce06fb8-7039-4f17-a5aa-7c81e25010d0,350000.0,350000.0,12.765691290604371,0,,0,1,0,0,0,0,0,0,0,350000.0
0b772a67-234f-4d66-9aa8-efa361789613,6400000.0,6400000.0,15.671808704579888,0,,0,1,0,0,0,0,0,0,0,6400000.0
d62b8718-f0e8-422b-9e95-94a60d1b45e1,2016129.03,2016129.03,14.516690405101361,0,,0,1,0,0,0,0,0,0,0,2016129.03
e98a2885-596c-4a1e-8e86-15c64ce330c1,334681.9,334681.9,12.72093879536542,6,2.0,1,0,0,0,0,0,0,0,0,334681.9
3df001f1-d6b4-4945-9b6f-5b7582ee9de8,4359968.82,4359968.82,15.287975693282911,0,,0,1,0,0,0,0,0,0,0,4359968.82
277a2bbf-7cd5-4b48-837d-9df6ad097088,193548.39,193548.39,12.173288004360424,0,,0,1,0,0,0,0,0,0,0,193548.39
42426ff1-700a-4942-9cd3-f299a0f01014,1339319.57,1339319.57,14.107673006026776,0,,0,1,0,0,0,0,0,0,0,1339319.57
