notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_veat,notice_is_pin-only,notice_is_pin-rtl,notice_is_cn-social,total-value
ca35704b-47c7-41ee-927b-074afc150f88,436780.0,436780.0,12.98718720429826,0,,1,0,0,0,0,0,0,0,436780.0
9cb768f5-2b01-4c84-8ee3-0402be481bd1,8700000.0,8700000.0,15.978833698567334,0,,1,0,0,0,0,0,0,0,100000000.0
c2ef4d64-c218-4e3e-ae63-e107f1a12639,178940.0,178940.0,12.094811421551379,2,3.0,0,1,0,0,0,0,0,0,178940.0
f09ea228-8867-4008-aa5c-61f59864f2e7,448000.0,448000.0,13.012550743537489,1,2.5,0,1,0,0,0,0,0,0,448000.0
e149a504-05dc-4177-850e-da744dce1deb,5495881.05,5495881.05,15.51950965159144,1,2.5,0,1,0,0,0,0,0,0,5495881.05
28f91a99-7630-4645-a9b6-e1bc471d5187,74748.0,74748.0,11.221891113237026,0,,0,0,0,1,0,0,0,0,74748.0
ace8399a-9587-44c4-b78b-f98aed991289,344143.0,344143.0,12.748815453416213,1,2.5,0,1,0,0,0,0,0,0,344143.0
de3a5a3e-0a8f-4f84-bee0-a69c99445bf9,206692.0,206692.0,12.238989879590846,1,2.0,0,1,0,0,0,0,0,0,206692.0
64a5b71f-86f9-4a8f-8917-6246230775d2,221000.0,221000.0,12.30592250537653,0,,1,0,0,0,0,0,0,0,221000.0
f6bb8bc0-1377-478d-8250-61573688cd9f,87988.77,87988.77,11.384975836702788,0,,1,0,0,0,0,0,0,0,172527.0
6e21211f-27f5-4bbe-87a3-2795b80cb3fc,3007968.75,3007968.75,14.916775907485343,3,2.0,0,0,0,1,0,0,0,0,13078125.0
52c5a14c-bbc0-4363-99f0-37af65337652,140000.0,140000.0,11.849404844423074,0,,0,1,0,0,0,0,0,0,140000.0
86bc0300-7b1b-4c1c-8377-fbf23dbf8b0e,500000.0,500000.0,13.122365377402328,0,,1,0,0,0,0,0,0,0,500000.0
488d9982-2fe2-4a5a-99dd-bf556f3c290f,5016000.0,5016000.0,15.428143560656915,0,,0,0,0,0,0,0,0,1,5016000.0
b0b0eb07-0fe0-45e4-9178-defebb9ca31f,180000.0,180000.0,12.100717685412471,0,,1,0,0,0,0,0,0,0,180000.0
cc69fe14-42fa-4ce7-95b9-54c7fd4f47e2,2175000.0,2175000.0,14.59253968227493,0,,1,0,0,0,0,0,0,0,25000000.0
03e2b7a7-275b-4747-9378-0077f2038f66,2619.87,2619.87,7.87126160270377,1,2.5,0,1,0,0,0,0,0,0,5137.0
41915351-ac40-4b2f-a03a-7813c7b64af6,737576.0,737576.0,13.511125768525764,0,,1,0,0,0,0,0,0,0,3687880.0
4f6ab993-b33f-4527-9480-f5ec2ec3ed2d,9443000.0,9443000.0,16.06078439014375,0,,1,0,0,0,0,0,0,0,9443000.0
fd6f989f-e6e0-4de4-8dda-7abd86e5aebe,160000.0,160000.0,11.982935344196433,0,,1,0,0,0,0,0,0,0,160000.0
481be36a-a88e-4940-a80a-c3a8232e427c,107741.18,107741.18,11.58749642992624,1,2.0,0,1,0,0,0,0,0,0,107741.18
9a62de07-8902-47e6-8797-3ec81a0393d7,1396994.1,1396994.1,14.149834130716842,8,2.0,0,1,0,0,0,0,0,0,1396994.1
ccf03309-5bc7-481e-8fc0-211aed8542b5,700000.0,700000.0,13.45883704259595,0,,0,1,0,0,0,0,0,0,700000.0
820e287b-cfc5-4ae1-a0d3-c1dc2ce851e6,165324.55,165324.55,12.015671839317912,1,2.5,0,1,0,0,0,0,0,0,165324.55
a04241cd-2ea7-4266-a294-4f83a7f43754,451000.0,451000.0,13.019224835777257,0,,1,0,0,0,0,0,0,0,2255000.0
6bb799e5-6d70-4f69-a41e-f707ea667275,240799.99999999997,240799.99999999997,12.3917261452321,0,,1,0,0,0,0,0,0,0,2800000.0
f79c430b-1ab7-43e9-8d33-3359540f2c67,221940.4,221940.4,12.310168662045834,0,,1,0,0,0,0,0,0,0,221940.4
9ec27b67-555d-4da2-866f-a34746174e94,956999.9999999999,956999.9999999999,13.771559715366624,0,,1,0,0,0,0,0,0,0,11000000.0
dec611bf-b424-43cd-8f95-8004b32f5b59,300000.0,300000.0,12.611541086966115,1,4.0,0,0,0,0,1,0,0,0,300000.0
cec7482c-da1c-4b8d-abff-9b2e5be078b1,110845.746,110845.746,11.615903859629379,0,,1,0,0,0,0,0,0,0,217344.6
a961427e-5572-465d-a956-e8d7fc731006,341304.444,341304.444,12.74053308554403,0,,1,0,0,0,0,0,0,0,8751396.0
1556981a-c682-4721-950b-ad353b255479,521769.0,521769.0,13.164982156739514,1,2.0,0,1,0,0,0,0,0,0,521769.0
cf09eca2-1095-449e-a02b-d8f47c3d6363,0.0,0.0,0.0,1,4.0,0,1,0,0,0,0,0,0,0.0
